# Generated by timeskew on an x86 system
283.205643252 283.205643167 283.205643328 283.205643368 -8.5e-08 7.6e-08 4e-08
284.206339477 284.206339392 284.206339555 284.206339603 -8.5e-08 7.8e-08 4.8e-08
285.207192029 285.207191959 285.207192160 285.207192206 -7e-08 1.31e-07 4.6e-08
286.207886350 286.207886281 286.207886457 286.207886510 -6.9e-08 1.07e-07 5.3e-08
287.208579242 287.208579171 287.208579321 287.208579355 -7.1e-08 7.9e-08 3.4e-08
288.209269683 288.209269586 288.209269734 288.209269770 -9.7e-08 5.1e-08 3.6e-08
289.209959213 289.209959116 289.209959265 289.209959290 -9.7e-08 5.2e-08 2.5e-08
290.210864753 290.210864696 290.210864906 290.210865052 -5.7e-08 1.53e-07 1.46e-07
291.211127847 291.211127801 291.211128001 291.211128074 -4.6e-08 1.54e-07 7.3e-08
292.211389578 292.211389496 292.211389646 292.211389695 -8.2e-08 6.8e-08 4.9e-08
293.212283257 293.212283186 293.212283375 293.212283423 -7.1e-08 1.18e-07 4.8e-08
294.212972749 294.212972736 294.212973037 294.212973111 -1.3e-08 2.88e-07 7.4e-08
295.213816542 295.213816497 295.213816686 295.213816749 -4.5e-08 1.44e-07 6.3e-08
296.214534314 296.214534245 296.214534405 296.214534443 -6.9e-08 9.1e-08 3.8e-08
297.215219444 297.215219364 297.215219528 297.215219566 -8e-08 8.4e-08 3.8e-08
298.216085238 298.216085184 298.216085588 298.216085661 -5.4e-08 3.5e-07 7.3e-08
299.216768291 299.216768221 299.216768426 299.216768494 -7e-08 1.35e-07 6.8e-08
300.217448995 300.217448898 300.217449047 300.217449071 -9.7e-08 5.2e-08 2.4e-08
301.218287411 301.218287375 301.218287579 301.218287716 -3.6e-08 1.68e-07 1.37e-07
302.218540640 302.218540661 302.218540834 302.218540873 2.1e-08 1.94e-07 3.9e-08
303.219264664 303.219264693 303.219264898 303.219265034 2.9e-08 2.34e-07 1.36e-07
304.219782574 304.219782561 304.219782792 304.219782930 -1.3e-08 2.18e-07 1.38e-07
